Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
198049:2797,55,1746887.97474,"[1-11], [14-57]",1715502.05798
198050:2797,154,4680131.25718,[2-155],4610325.35011
198063:2797,289,7969354.2243,"[1-37], [40-72], [74-124], [127-294]",7883900.50589
198116:2798,73,5928717.47774,"[36-52], [54-55], [58-96], [98-112]",5722462.44763
198207:2805,96,6761815.91175,"[1-55], [57-97]",6676734.87372
198208:2805,204,12808009.4699,"[1-92], [94-134], [137-147], [150-209]",12626687.1389
198210:2805,221,12077137.6783,[1-221],11990022.8824
198212:2805,574,25502156.2134,[1-574],25222808.0268
198213:2805,107,4053906.06073,[1-107],3959510.84192
198215:2805,12,436716.288695,[1-12],430332.729355
198230:2806,1358,100270856.221,"[1-33], [36-57], [60-235], [237-324], [326-388], [390-459], [462-625], [627-651], [653-805], [808-811], [814-948], [950-1090], [1093-1103], [1106-1332], [1335-1380]",99381863.5592
198249:2806,7,359245.030891,[1-7],356304.294196
198269:2807,196,25487453.22,[3-198],25103200.2529
198271:2807,763,73427459.5289,"[1-91], [93-112], [114-126], [128-165], [167-170], [173-192], [194-226], [228-234], [236-293], [295-299], [301-340], [342-348], [350-377], [379-382], [384-389], [391-407], [409-450], [453-489], [491-505], [507-513], [516-587], [589-616], [619-628], [631-645], [647-704], [706-733], [735-737], [739-791], [794-797]",72628508.4818
198272:2807,603,41157558.0482,"[1-185], [188-245], [248-314], [317-433], [436-444], [454-620]",40697345.8278
198346:2810,4,448381.884449,[44-47],390961.358443
198372:2812,52,6661890.36571,"[58-89], [91-110]",6505086.64669
198485:2816,167,21392213.6677,"[68-109], [112-134], [136-181], [184-239]",21098228.983
198487:2816,1585,128655870.156,"[1-145], [147-514], [517-638], [640-668], [671-675], [677-695], [697-733], [737-745], [747-757], [760-798], [800-802], [804-809], [811-814], [816-835], [837-852], [854-860], [862-994], [997-1434], [1437-1610]",127229210.694
198522:2819,142,18053989.6418,"[65-144], [147-208]",17702560.8633
198941:2840,173,21975151.2337,"[102-189], [191-215], [217-220], [222-241], [243-249], [252-268], [270-273], [276-279], [281-284]",21625671.8574
198954:2842,166,19969841.8018,"[108-131], [133-136], [138-156], [159-277]",19645603.0362
198955:2842,1519,119416147.15,"[1-45], [47-50], [53-220], [223-269], [271-284], [286-338], [340-580], [583-742], [744-910], [913-946], [949-1162], [1165-1169], [1172-1182], [1185-1188], [1190-1246], [1249-1304], [1306-1325], [1327-1452], [1454-1454], [1456-1467], [1470-1472], [1474-1474], [1476-1485], [1487-1552]",118109881.838
198969:2843,1177,110368734.871,"[58-81], [84-183], [185-214], [216-247], [249-257], [259-323], [325-365], [367-413], [416-466], [468-643], [646-918], [920-1011], [1013-1175], [1178-1236], [1239-1253]",109160327.881
199008:2847,558,62448099.4055,"[75-93], [95-121], [124-208], [211-331], [333-373], [376-482], [485-605], [608-644]",61368043.6564
199011:2847,22,2043609.92063,"[1-11], [13-16], [18-24]",2024977.54269
199021:2848,1402,127752444.281,"[59-88], [91-128], [130-133], [136-309], [311-333], [335-410], [414-469], [471-533], [535-563], [565-1064], [1066-1078], [1080-1087], [1089-1117], [1119-1121], [1123-1130], [1133-1140], [1142-1151], [1153-1166], [1168-1200], [1202-1203], [1205-1206], [1208-1213], [1215-1223], [1226-1228], [1230-1231], [1234-1243], [1245-1479], [1481-1494]",126109930.462
199318:2858,74,10525312.1331,[65-138],10180801.428
199319:2858,966,99310577.173,"[1-7], [9-39], [41-72], [74-96], [98-102], [104-107], [110-223], [226-277], [280-348], [351-358], [360-422], [424-490], [492-493], [496-612], [615-642], [645-720], [723-728], [730-731], [734-741], [744-752], [754-943], [945-997]",97913004.6695
199336:2858,968,62690137.7066,"[1-33], [36-122], [125-231], [234-614], [617-789], [791-977]",62220063.8669
199356:2861,130,17352544.9484,"[95-121], [123-134], [136-145], [147-168], [171-205], [208-231]",17055778.3148
199409:2870,1267,113038345.895,"[25-54], [56-89], [91-204], [206-290], [293-583], [586-602], [604-1014], [1016-1300]",111666663.773
199428:2871,575,62199765.7109,"[61-197], [200-210], [212-382], [387-414], [417-436], [439-530], [533-648]",61177657.3189
199429:2871,146,12449211.7705,"[1-28], [30-36], [39-55], [58-101], [103-148], [151-154]",12309638.6024
199435:2872,1525,129462583.883,"[63-64], [66-106], [109-195], [197-261], [263-579], [582-654], [656-696], [699-1034], [1037-1144], [1147-1327], [1330-1411], [1414-1431], [1434-1441], [1444-1487], [1489-1610]",127871994.168
199436:2872,722,36301923.4539,"[1-6], [9-24], [27-50], [53-68], [71-84], [87-98], [101-113], [116-232], [235-254], [257-293], [296-313], [316-672], [674-675], [678-693], [695-748]",36000522.1386
199564:2873,3,401355.23409,[1-3],391101.830753
199569:2873,363,36666811.4702,"[1-2], [5-136], [139-367]",36205630.7186
199570:2873,17,1534953.22194,[1-17],1465909.68972
199571:2873,556,43910639.5666,"[1-22], [24-27], [29-184], [186-360], [363-561]",43310726.1444
199572:2873,317,20688727.3249,[1-317],20440959.4126
199573:2873,22,1339610.26651,[1-22],1313828.08264
199574:2873,242,13948707.2203,"[1-53], [56-153], [156-246]",13857530.5722
199608:2875,2245,165238687.416,"[60-104], [106-107], [109-109], [111-112], [114-157], [159-159], [161-166], [168-169], [171-171], [174-177], [179-180], [182-187], [189-189], [191-193], [195-197], [199-209], [211-211], [213-213], [215-222], [224-256], [259-289], [291-316], [318-341], [344-359], [361-361], [363-390], [392-404], [406-461], [464-574], [576-583], [585-617], [619-663], [665-665], [667-676], [679-688], [690-693], [695-800], [802-803], [805-816], [818-898], [900-950], [952-1011], [1013-1038], [1040-1040], [1042-1064], [1067-1088], [1090-1106], [1108-1120], [1122-1134], [1137-1147], [1149-1154], [1156-1161], [1163-1218], [1220-1266], [1268-1303], [1305-1366], [1368-1374], [1376-1392], [1395-1404], [1406-1426], [1428-1446], [1448-1449], [1451-1480], [1482-1507], [1509-1526], [1528-1547], [1549-1550], [1552-1611], [1613-1619], [1621-1622], [1624-1630], [1633-1636], [1638-1653], [1655-1684], [1687-1766], [1769-1806], [1809-1832], [1835-1900], [1903-1904], [1907-1962], [1965-1978], [1981-2044], [2047-2070], [2073-2106], [2109-2186], [2189-2208], [2211-2252], [2255-2280], [2283-2298], [2301-2302], [2305-2379], [2382-2422]",163569645.188
199698:2880,55,6675820.85828,"[72-94], [96-127]",6544369.78986
199699:2880,749,70177793.1113,"[1-142], [144-154], [157-169], [172-410], [412-517], [519-756]",69303242.8001
199703:2880,525,34129778.88,"[1-94], [97-482], [485-529]",33869270.7242
199739:2882,68,8481776.2191,[66-133],8362905.05072
199751:2884,24,2969397.25265,"[103-119], [121-127]",2857521.75177
199752:2884,316,33669812.8757,"[1-141], [144-180], [182-186], [188-211], [214-322]",33042150.9356
199753:2884,56,5319113.10844,"[1-29], [31-37], [39-43], [45-59]",5204356.5923
199754:2884,954,68277258.5289,"[1-7], [9-23], [25-37], [39-42], [44-203], [205-234], [236-245], [247-247], [249-290], [292-302], [304-325], [328-400], [402-402], [404-412], [414-457], [459-471], [473-481], [483-516], [518-519], [521-522], [524-530], [532-534], [536-567], [569-579], [581-588], [591-607], [610-613], [615-616], [618-626], [628-631], [633-650], [652-676], [678-701], [703-753], [755-768], [770-789], [791-806], [808-824], [826-828], [830-843], [845-864], [866-998]",67594005.5815
199804:2886,541,58335873.97,"[78-88], [90-135], [137-141], [143-181], [183-235], [238-278], [281-290], [292-519], [522-575], [577-628], [631-632]",57659747.3929
199812:2887,688,72206656.8913,"[70-141], [144-163], [182-211], [214-463], [465-471], [474-485], [487-505], [509-557], [560-571], [574-623], [626-751], [754-757], [760-796]",71174639.2781
199832:2888,223,28792477.1488,"[58-62], [65-118], [121-139], [142-286]",26613858.6613
199833:2888,1227,104994790.107,"[1-13], [16-103], [105-250], [253-493], [496-794], [797-1032], [1034-1185], [1188-1239]",103406248.944
199834:2888,927,47395317.6611,"[1-9], [11-11], [14-18], [21-54], [56-57], [62-65], [69-284], [286-503], [505-942]",47018747.6551
199862:2891,80,10749321.7937,"[59-70], [72-117], [119-136], [138-141]",10457290.1611
199864:2891,478,52640304.1046,"[1-87], [89-89], [92-103], [106-372], [374-385], [388-486]",51604866.0674
199867:2891,307,26721459.5413,"[1-12], [14-37], [39-40], [42-96], [98-120], [122-134], [136-162], [164-172], [174-183], [185-188], [190-209], [211-218], [221-320]",26337118.533
199868:2891,21,1592547.90023,[1-21],1578866.85432
199875:2892,260,32810021.8948,"[70-87], [89-150], [152-229], [231-242], [244-260], [262-334]",31531215.5472
199876:2892,359,36246127.1723,"[1-19], [22-95], [97-198], [200-213], [215-249], [252-252], [254-272], [274-318], [320-320], [322-340], [343-347], [349-361], [365-376]",35820955.9917
199877:2892,849,62130436.3167,"[1-72], [74-79], [81-99], [101-173], [175-177], [179-179], [182-241], [243-315], [317-387], [389-437], [439-441], [443-454], [456-501], [503-516], [519-603], [605-605], [607-609], [611-659], [661-701], [703-818], [820-871]",61586999.866
199960:2893,392,46102004.1026,"[72-99], [101-139], [141-160], [162-182], [184-186], [188-197], [204-211], [213-232], [235-363], [365-367], [370-380], [383-459], [461-466], [469-485]",45462283.7626
199961:2893,286,26828720.8511,"[1-211], [213-287]",26490908.9467
199967:2894,137,17633980.3027,"[60-120], [122-170], [172-198]",16989327.3955
199973:2896,17,2253875.83812,[73-89],2190166.49023
200041:2898,1012,100222579.786,"[62-83], [85-157], [162-274], [277-318], [321-335], [337-386], [388-389], [392-400], [402-568], [571-593], [595-646], [649-728], [731-860], [862-930], [932-1096]",98863588.105
200042:2898,529,32292050.3655,"[1-47], [49-110], [113-371], [374-402], [405-536]",32003799.9946
200049:2898,177,8737481.99626,[1-177],8690132.01455
200075:2900,489,55166776.2773,"[76-139], [142-232], [256-318], [320-320], [322-326], [329-338], [340-346], [348-352], [354-363], [365-371], [373-378], [380-397], [399-422], [425-431], [434-500], [502-605]",54479499.0147
200091:2902,1611,141955487.565,"[67-67], [70-151], [154-172], [174-187], [190-196], [199-201], [204-425], [428-535], [537-607], [610-879], [881-943], [946-999], [1001-1025], [1027-1132], [1135-1339], [1341-1433], [1435-1450], [1453-1523], [1526-1664], [1667-1680], [1683-1710]",140317828.235
200152:2905,43,5559154.78798,[74-116],5392907.03608
200160:2906,17,2377758.46882,[52-68],2272350.74871
200161:2906,110,14392935.4725,"[1-97], [100-112]",12853521.8751
200174:2908,4,556081.198129,[81-84],395418.312791
200177:2908,56,7425340.68656,[1-56],7012146.14684
200178:2908,38,4851357.79641,[1-38],4679493.32639
200180:2908,18,2229620.73087,[1-18],2176756.68171
200186:2908,22,2561582.52482,"[1-3], [6-24]",2418445.35925
200188:2908,340,34856014.1624,"[1-10], [12-22], [24-24], [27-28], [31-32], [34-37], [39-76], [79-271], [274-352]",34363310.4272
200190:2908,856,63771088.1022,"[1-4], [6-76], [79-143], [146-159], [162-256], [258-321], [324-401], [403-453], [456-457], [460-565], [567-588], [591-591], [593-595], [597-646], [649-878]",62907030.9293
200229:2911,614,50157852.222,"[1-33], [41-219], [222-244], [247-290], [293-624], [627-629]",49392825.8487
200243:2912,69,9777311.75221,"[69-103], [106-139]",9491781.65203
200244:2912,590,66105457.3848,"[3-79], [81-126], [128-139], [141-212], [214-257], [259-304], [307-310], [312-326], [328-343], [345-356], [358-361], [363-423], [425-426], [428-442], [445-454], [456-484], [486-507], [510-510], [512-541], [543-543], [545-547], [549-568], [570-593], [595-614], [616-619]",65027880.4525
200245:2912,352,29154063.3269,"[1-103], [105-128], [131-248], [251-357]",28887362.2021
200368:2918,109,10438703.892,[72-180],10250758.0301
200369:2918,675,52856151.9692,"[1-5], [8-61], [64-360], [363-439], [441-578], [580-603], [606-684], [686-686]",52279516.1527
200381:2920,184,25055950.0772,"[8-15], [18-36], [38-89], [91-195]",24593721.0564
200466:2926,141,6046151.25819,[134-274],5922431.64727
200473:2927,1213,100707334.968,"[96-157], [159-224], [226-304], [306-469], [472-524], [527-542], [545-619], [622-688], [691-730], [733-738], [740-1324]",99729617.179
200491:2928,317,40240943.4899,"[87-107], [110-149], [152-157], [160-197], [199-237], [240-270], [273-273], [276-334], [336-360], [363-419]",39497722.3839
200515:2929,87,12433775.3945,[97-183],12044283.3606
200519:2929,733,76424552.5437,"[1-111], [114-126], [129-136], [138-224], [227-258], [261-350], [353-611], [613-723], [725-729], [731-747]",75384609.1133
200525:2932,896,96986153.5298,"[77-149], [151-164], [166-190], [193-276], [278-311], [314-464], [467-488], [491-674], [676-704], [707-755], [757-895], [898-937], [939-990]",95457605.5838
200532:2932,37,2922291.75132,[1-37],2897322.11235
200599:2934,60,8735796.45595,"[75-114], [116-129], [132-137]",8418941.87629
200600:2934,1115,111116152.737,"[1-183], [186-299], [302-313], [316-324], [327-334], [336-397], [399-417], [420-526], [529-591], [594-596], [598-609], [611-660], [663-823], [826-900], [902-943], [945-1139]",109658956.255
200961:2974,115,808931.119037,[1-115],803796.082624
200976:2975,71,3355059.00903,[94-164],3268176.53443
200990:2976,69,9337937.10033,[75-143],8945944.61151
200991:2976,1033,98858923.058,"[1-42], [44-44], [47-80], [83-175], [178-181], [184-252], [255-632], [635-916], [918-1017], [1019-1048]",97294967.0501
200992:2976,578,35981706.2253,"[1-405], [408-434], [436-581]",35730927.3992
201062:2978,191,26994200.0646,[78-268],26197447.9901
201097:2980,407,51901040.7016,"[83-136], [138-245], [248-300], [303-370], [372-429], [432-497]",50516981.3822
201114:2981,14,2168035.1624,[1-14],1953512.99646
201115:2981,73,10578456.0479,[1-73],10172363.1873
201159:2983,140,20805546.7343,"[70-197], [199-206], [208-211]",19483252.3427
201164:2983,409,48868293.7941,"[1-8], [10-94], [96-125], [128-178], [180-198], [200-271], [274-416], [418-418]",47853506.5939
201168:2983,725,61754565.6487,"[1-37], [39-275], [278-481], [483-558], [560-730]",60968335.332
201173:2983,584,35640559.1376,"[1-194], [197-586]",35386385.65
201174:2983,447,21590883.8141,"[1-214], [216-263], [265-339], [342-451]",21395327.9489
201191:2984,1290,136812338.057,"[75-98], [100-216], [218-389], [392-492], [494-506], [509-585], [587-594], [597-607], [609-794], [796-838], [841-974], [977-1105], [1108-1117], [1120-1382], [1385-1386]",134241600.38
201193:2984,19,1335800.76569,[1-19],1288933.76626
201196:2984,811,47273691.3199,"[1-238], [241-278], [286-299], [302-338], [341-515], [518-720], [723-789], [803-841]",46832918.1674
